,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,MSE,MAPE,SMAPE
161,"[0, 3, 6]",Sudden Drift,Large,Medium,Half observed,78.81553596432795,0.01919743589050142,1.91
162,"[0, 3, 6]",Sudden Drift,Large,Medium,Unobserved,45259.07423386338,0.45198145331466233,59.46
163,"[0, 3, 6]",Sudden Drift,Large,Unimportant,Fully observed,11.814687519147254,0.012274748601113687,1.23
164,"[0, 3, 6]",Sudden Drift,Large,Unimportant,Half observed,206.4167637182324,0.04986166831879667,4.82
165,"[0, 3, 6]",Sudden Drift,Large,Unimportant,Unobserved,868.1128797022401,0.12529497810967435,13.46
166,"[0, 3, 6]",Incremental Drift,Small,Important,Fully observed,13.572602156425528,0.01463583795014713,1.47
167,"[0, 3, 6]",Incremental Drift,Small,Important,Half observed,26.500053144508257,0.014280861442270672,1.44
168,"[0, 3, 6]",Incremental Drift,Small,Important,Unobserved,25.633628767616887,0.014278511574919004,1.44
169,"[0, 3, 6]",Incremental Drift,Small,Medium,Fully observed,18.403876895841055,0.016884138584586345,1.71
170,"[0, 3, 6]",Incremental Drift,Small,Medium,Half observed,17.121435105797627,0.013996734269207035,1.41
171,"[0, 3, 6]",Incremental Drift,Small,Medium,Unobserved,16.936955364977987,0.013997448963832213,1.41
172,"[0, 3, 6]",Incremental Drift,Small,Unimportant,Fully observed,10.773412301201363,0.013534542688984264,1.36
173,"[0, 3, 6]",Incremental Drift,Small,Unimportant,Half observed,10.9854814215255,0.013634324342695596,1.37
174,"[0, 3, 6]",Incremental Drift,Small,Unimportant,Unobserved,10.964250617218962,0.013627312529231123,1.37
175,"[0, 3, 6]",Incremental Drift,Large,Important,Fully observed,30.240873043575476,0.014200299090038006,1.41
176,"[0, 3, 6]",Incremental Drift,Large,Important,Half observed,326.82630273086096,0.015238881358230266,1.6
177,"[0, 3, 6]",Incremental Drift,Large,Important,Unobserved,318.9940447973189,0.015242775662719556,1.6
178,"[0, 3, 6]",Incremental Drift,Large,Medium,Fully observed,47.42483368783651,0.02257727950586793,2.3
179,"[0, 3, 6]",Incremental Drift,Large,Medium,Half observed,136.0340758591882,0.014806920467070455,1.52
180,"[0, 3, 6]",Incremental Drift,Large,Medium,Unobserved,137.5421175793622,0.0148181971686028,1.53
181,"[0, 3, 6]",Incremental Drift,Large,Unimportant,Fully observed,12.7159382119665,0.014456184671164251,1.45
182,"[0, 3, 6]",Incremental Drift,Large,Unimportant,Half observed,13.043171747596654,0.013891073499424152,1.4
183,"[0, 3, 6]",Incremental Drift,Large,Unimportant,Unobserved,13.058071229655019,0.01389422393574382,1.4
184,"[0, 3, 6]",No Drift,No Drift,No Drift,No Drift,10.892391759737658,0.013599145471244306,1.36
