Algorithm,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,MSE,SMAPE,Dropped drifting
Linear regression,Medium,Incremental Drift,Large,Medium,Training,397.96700160801583,12.69,True
Linear regression,Medium,Incremental Drift,Large,Medium,Training/Test,1017.584805275508,23.48,True
Linear regression,Medium,Incremental Drift,Large,Medium,Test,948.3619382656608,21.93,True
Linear regression,Medium,Incremental Drift,Large,Unimportant,Training,24.532510900986285,3.58,False
Linear regression,Medium,Incremental Drift,Large,Unimportant,Training/Test,36.70733506222683,4.09,False
Linear regression,Medium,Incremental Drift,Large,Unimportant,Test,1597.5645732450737,25.88,False
Linear regression,Medium,No Drift,No Drift,No Drift,No Drift,25.13250049865096,3.85,False
Linear regression,Medium,Sudden Shock,Small,Important,3 days,23.85816064317121,3.77,False
Linear regression,Medium,Sudden Shock,Large,Important,3 days,24.40237948077216,3.8,False
Linear regression,Medium,Sudden Shock,Small,Important,7 days,24.37305476664573,3.8,False
Linear regression,Medium,Sudden Shock,Large,Important,7 days,24.85083768134873,3.81,False
Linear regression,Unimportant,Sudden Drift,Small,Important,Training,25.70014182503266,3.58,False
Linear regression,Unimportant,Sudden Drift,Small,Important,Training/Test,28.371939633234884,3.87,False
Linear regression,Unimportant,Sudden Drift,Small,Important,Test,59.86100150318098,5.54,False
Linear regression,Unimportant,Sudden Drift,Small,Medium,Training,25.36593019536044,3.55,False
Linear regression,Unimportant,Sudden Drift,Small,Medium,Training/Test,28.02803543263697,3.89,False
Linear regression,Unimportant,Sudden Drift,Small,Medium,Test,29.08878850429945,3.78,False
Linear regression,Unimportant,Sudden Drift,Small,Unimportant,Training,24.06344691703056,3.78,True
Linear regression,Unimportant,Sudden Drift,Small,Unimportant,Training/Test,25.51932272875724,3.76,True
Linear regression,Unimportant,Sudden Drift,Small,Unimportant,Test,26.265873943199068,3.79,True
Linear regression,Unimportant,Sudden Drift,Large,Important,Training,34.06356661951084,3.3,False
Linear regression,Unimportant,Sudden Drift,Large,Important,Training/Test,42.8556889417305,3.94,False
Linear regression,Unimportant,Sudden Drift,Large,Important,Test,652.5454978201983,16.07,False
Linear regression,Unimportant,Sudden Drift,Large,Medium,Training,29.900128735635903,3.16,False
Linear regression,Unimportant,Sudden Drift,Large,Medium,Training/Test,59.04448691019932,4.58,False
Linear regression,Unimportant,Sudden Drift,Large,Medium,Test,69.4905826834054,4.68,False
Linear regression,Unimportant,Sudden Drift,Large,Unimportant,Training,34.116143108475754,4.26,True
Linear regression,Unimportant,Sudden Drift,Large,Unimportant,Training/Test,46.482123373065306,5.1,True
Linear regression,Unimportant,Sudden Drift,Large,Unimportant,Test,61.37325838002138,6.06,True
Linear regression,Unimportant,Incremental Drift,Small,Important,Training,26.25208770866029,3.57,False
Linear regression,Unimportant,Incremental Drift,Small,Important,Training/Test,56.77514808583784,5.36,False
Linear regression,Unimportant,Incremental Drift,Small,Important,Test,47.02627431962169,5.0,False
Linear regression,Unimportant,Incremental Drift,Small,Medium,Training,24.94340717683175,3.57,False
Linear regression,Unimportant,Incremental Drift,Small,Medium,Training/Test,31.56075542532661,4.13,False
Linear regression,Unimportant,Incremental Drift,Small,Medium,Test,28.85840407547024,3.84,False
Linear regression,Unimportant,Incremental Drift,Small,Unimportant,Training,23.913409179232183,3.77,True
Linear regression,Unimportant,Incremental Drift,Small,Unimportant,Training/Test,26.682219539072392,3.81,True
Linear regression,Unimportant,Incremental Drift,Small,Unimportant,Test,25.075465573474503,3.72,True
