Algorithm,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,Switched,MSE,SMAPE,Dropped drifting
Gradient boosted decision tree,Medium,Incremental Drift,Large,Unimportant,Training/Test,False,22.35777186355149,2.61,False
Gradient boosted decision tree,Medium,Incremental Drift,Large,Unimportant,Test,False,23.98002058906016,2.67,False
Gradient boosted decision tree,Medium,No Drift,No Drift,No Drift,No Drift,False,20.191543645902303,2.49,False
Gradient boosted decision tree,Medium,Sudden Shock,Small,Important,3 days,False,22.398213175333726,2.64,False
Gradient boosted decision tree,Medium,Sudden Shock,Large,Important,3 days,False,38.02337556980911,2.67,False
Gradient boosted decision tree,Medium,Sudden Shock,Small,Important,7 days,False,23.495545892764667,2.67,False
Gradient boosted decision tree,Medium,Sudden Shock,Large,Important,7 days,False,47.02050256762628,2.8,False
Gradient boosted decision tree,Unimportant,Sudden Drift,Small,Important,Training,False,54.88713340511968,4.04,False
Gradient boosted decision tree,Unimportant,Sudden Drift,Small,Important,Training/Test,False,50.69052714718844,3.92,False
Gradient boosted decision tree,Unimportant,Sudden Drift,Small,Important,Test,False,85.23881988433467,5.34,False
Gradient boosted decision tree,Unimportant,Sudden Drift,Small,Medium,Training,False,24.90931736397271,2.65,False
Gradient boosted decision tree,Unimportant,Sudden Drift,Small,Medium,Training/Test,False,33.32693040105208,3.16,False
Gradient boosted decision tree,Unimportant,Sudden Drift,Small,Medium,Test,False,30.191493959149337,3.01,False
Gradient boosted decision tree,Unimportant,Sudden Drift,Small,Unimportant,Training,False,22.780960364639306,2.56,True
Gradient boosted decision tree,Unimportant,Sudden Drift,Small,Unimportant,Training/Test,False,22.45320017845907,2.56,True
Gradient boosted decision tree,Unimportant,Sudden Drift,Small,Unimportant,Test,False,21.60542194102489,2.51,True
Gradient boosted decision tree,Unimportant,Sudden Drift,Large,Important,Training,False,332.2518964140376,8.35,False
Gradient boosted decision tree,Unimportant,Sudden Drift,Large,Important,Training/Test,False,84.3143021069293,3.94,False
Gradient boosted decision tree,Unimportant,Sudden Drift,Large,Important,Test,False,1762.0406884817212,24.23,False
Gradient boosted decision tree,Unimportant,Sudden Drift,Large,Medium,Training,False,43.22361751334444,3.64,False
Gradient boosted decision tree,Unimportant,Sudden Drift,Large,Medium,Training/Test,False,49.33721342908599,3.79,False
Gradient boosted decision tree,Unimportant,Sudden Drift,Large,Medium,Test,False,72.0959421202044,4.28,False
Gradient boosted decision tree,Unimportant,Sudden Drift,Large,Unimportant,Training,False,24.194787501856265,2.68,True
Gradient boosted decision tree,Unimportant,Sudden Drift,Large,Unimportant,Training/Test,False,23.139935202430117,2.54,True
Gradient boosted decision tree,Unimportant,Sudden Drift,Large,Unimportant,Test,False,22.26561949533834,2.51,True
Gradient boosted decision tree,Unimportant,Incremental Drift,Small,Important,Training,False,54.077315060043375,3.99,False
Gradient boosted decision tree,Unimportant,Incremental Drift,Small,Important,Training/Test,False,75.13644639698771,4.91,False
Gradient boosted decision tree,Unimportant,Incremental Drift,Small,Important,Test,False,72.43909052132133,4.72,False
Gradient boosted decision tree,Unimportant,Incremental Drift,Small,Medium,Training,False,25.287345886804903,2.67,False
Gradient boosted decision tree,Unimportant,Incremental Drift,Small,Medium,Training/Test,False,32.94521669647165,3.16,False
Gradient boosted decision tree,Unimportant,Incremental Drift,Small,Medium,Test,False,30.05630484460844,3.01,False
Gradient boosted decision tree,Unimportant,Incremental Drift,Small,Unimportant,Training,False,23.133946056815528,2.64,True
Gradient boosted decision tree,Unimportant,Incremental Drift,Small,Unimportant,Training/Test,False,23.68300008692222,2.63,True
Gradient boosted decision tree,Unimportant,Incremental Drift,Small,Unimportant,Test,False,21.718880031796783,2.53,True
Gradient boosted decision tree,Unimportant,Incremental Drift,Large,Important,Training,False,380.5158375209017,8.94,False
Gradient boosted decision tree,Unimportant,Incremental Drift,Large,Important,Training/Test,False,1140.0693887935015,18.74,False
Gradient boosted decision tree,Unimportant,Incremental Drift,Large,Important,Test,False,1377.8298344926186,20.03,False
Gradient boosted decision tree,Unimportant,Incremental Drift,Large,Medium,Training,False,43.42462333501658,3.64,False
Gradient boosted decision tree,Unimportant,Incremental Drift,Large,Medium,Training/Test,False,56.13938935740374,3.92,False
Gradient boosted decision tree,Unimportant,Incremental Drift,Large,Medium,Test,False,64.99462362113907,4.08,False
Gradient boosted decision tree,Unimportant,Incremental Drift,Large,Unimportant,Training,False,22.55037219775907,2.58,True
Gradient boosted decision tree,Unimportant,Incremental Drift,Large,Unimportant,Training/Test,False,24.074350525960245,2.61,True
Gradient boosted decision tree,Unimportant,Incremental Drift,Large,Unimportant,Test,False,22.5301412413922,2.54,True
Gradient boosted decision tree,Unimportant,No Drift,No Drift,No Drift,No Drift,False,21.670104296707613,2.53,False
Gradient boosted decision tree,Unimportant,Sudden Shock,Small,Important,3 days,False,23.78549988506819,2.66,False
Gradient boosted decision tree,Unimportant,Sudden Shock,Large,Important,3 days,False,44.55828071165182,2.91,False
Gradient boosted decision tree,Unimportant,Sudden Shock,Small,Important,7 days,False,22.260727384298203,2.61,False
Gradient boosted decision tree,Unimportant,Sudden Shock,Large,Important,7 days,False,47.51145353010676,2.94,False
Ensemble,None,Sudden Drift,Small,Important,Training,False,51.3949570545622,3.89,False
Ensemble,None,Sudden Drift,Small,Important,Training/Test,False,48.36767803687933,3.82,False
Ensemble,None,Sudden Drift,Small,Important,Test,True,55.62211682119317,3.85,False
Ensemble,None,Sudden Drift,Small,Medium,Training,False,25.694485352317223,2.71,False
Ensemble,None,Sudden Drift,Small,Medium,Training/Test,False,33.529874323298074,3.12,False
Ensemble,None,Sudden Drift,Small,Medium,Test,False,27.81149168208748,2.84,False
Ensemble,None,Sudden Drift,Small,Unimportant,Training,False,23.863495414682124,2.65,False
Ensemble,None,Sudden Drift,Small,Unimportant,Training/Test,False,24.339614358476663,2.69,False
Ensemble,None,Sudden Drift,Small,Unimportant,Test,False,27.412852365580463,2.9,False
Ensemble,None,Sudden Drift,Large,Important,Training,False,360.4934217843752,8.74,False
Ensemble,None,Sudden Drift,Large,Important,Training/Test,False,93.59781671837248,4.15,False
Ensemble,None,Sudden Drift,Large,Important,Test,True,326.56694263395644,6.79,False
Ensemble,None,Sudden Drift,Large,Medium,Training,False,42.58139289234355,3.59,False
Ensemble,None,Sudden Drift,Large,Medium,Training/Test,False,48.35028706298812,3.66,False
Ensemble,None,Sudden Drift,Large,Medium,Test,False,73.30637318377444,4.37,False
Ensemble,None,Sudden Drift,Large,Unimportant,Training,False,23.57853710723152,2.66,False
Ensemble,None,Sudden Drift,Large,Unimportant,Training/Test,False,23.10141903157063,2.6,False
Ensemble,None,Sudden Drift,Large,Unimportant,Test,False,26.46226775318478,2.78,False
Ensemble,None,Incremental Drift,Small,Important,Training,False,57.64105625572649,4.15,False
Ensemble,None,Incremental Drift,Small,Important,Training/Test,True,55.71461035240559,3.93,False
Ensemble,None,Incremental Drift,Small,Important,Test,True,49.02599883080536,3.6,False
Ensemble,None,Incremental Drift,Small,Medium,Training,False,25.648997716256297,2.74,False
Ensemble,None,Incremental Drift,Small,Medium,Training/Test,False,30.21270809859039,3.02,False
Ensemble,None,Incremental Drift,Small,Medium,Test,False,27.682510543005005,2.83,False
Ensemble,None,Incremental Drift,Small,Unimportant,Training,False,25.84731803318526,2.77,False
Ensemble,None,Incremental Drift,Small,Unimportant,Training/Test,False,25.396223801034413,2.72,False
Ensemble,None,Incremental Drift,Small,Unimportant,Test,False,27.24867277002416,2.9,False
Ensemble,None,Incremental Drift,Large,Important,Training,False,392.1651261786295,9.08,False
Ensemble,None,Incremental Drift,Large,Important,Training/Test,True,423.9945431666762,8.76,False
Ensemble,None,Incremental Drift,Large,Important,Test,True,97.4412271723472,4.38,False
Ensemble,None,Incremental Drift,Large,Medium,Training,False,45.41383745548656,3.74,False
Ensemble,None,Incremental Drift,Large,Medium,Training/Test,False,54.938407810408094,3.87,False
