Algorithm,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,MSE,SMAPE,Dropped drifting
Linear regression,Medium,Sudden Drift,Small,Unimportant,Training/Test,33.73163467868724,3.43,False
Linear regression,Medium,Sudden Drift,Small,Unimportant,Test,36.30796149861747,3.51,False
Linear regression,Medium,Sudden Drift,Large,Important,Training,44.46920134479322,3.02,False
Linear regression,Medium,Sudden Drift,Large,Important,Training/Test,40.83460611534562,2.81,False
Linear regression,Medium,Sudden Drift,Large,Important,Test,1240.637996253809,20.01,False
Linear regression,Medium,Sudden Drift,Large,Medium,Training,120.0334495012438,6.02,True
Linear regression,Medium,Sudden Drift,Large,Medium,Training/Test,167.50742503792893,7.99,True
Linear regression,Medium,Sudden Drift,Large,Medium,Test,275.701613401087,10.67,True
Linear regression,Medium,Sudden Drift,Large,Unimportant,Training,35.69332682262466,3.44,False
Linear regression,Medium,Sudden Drift,Large,Unimportant,Training/Test,32.32429351773319,3.19,False
Linear regression,Medium,Sudden Drift,Large,Unimportant,Test,108.54559931155757,6.54,False
Linear regression,Medium,Incremental Drift,Small,Important,Training,36.66386573109379,3.33,False
Linear regression,Medium,Incremental Drift,Small,Important,Training/Test,84.63257729581423,5.14,False
Linear regression,Medium,Incremental Drift,Small,Important,Test,107.07865354177156,5.8,False
Linear regression,Medium,Incremental Drift,Small,Medium,Training,38.075678219231904,3.49,True
Linear regression,Medium,Incremental Drift,Small,Medium,Training/Test,45.02415792454085,3.9,True
Linear regression,Medium,Incremental Drift,Small,Medium,Test,46.17039590804494,3.97,True
Linear regression,Medium,Incremental Drift,Small,Unimportant,Training,35.48082381204573,3.54,False
Linear regression,Medium,Incremental Drift,Small,Unimportant,Training/Test,34.13359595849467,3.43,False
Linear regression,Medium,Incremental Drift,Small,Unimportant,Test,42.410425795984686,3.74,False
Linear regression,Medium,Incremental Drift,Large,Important,Training,44.88399597901667,3.03,False
Linear regression,Medium,Incremental Drift,Large,Important,Training/Test,40.9214902326499,2.82,False
Linear regression,Medium,Incremental Drift,Large,Important,Test,1021.1608528733558,17.35,False
Linear regression,Medium,Incremental Drift,Large,Medium,Training,114.31971228276434,5.87,True
Linear regression,Medium,Incremental Drift,Large,Medium,Training/Test,232.17414790173012,9.61,True
Linear regression,Medium,Incremental Drift,Large,Medium,Test,226.87951815839844,9.11,True
Linear regression,Medium,Incremental Drift,Large,Unimportant,Training,34.085498087787656,3.36,False
Linear regression,Medium,Incremental Drift,Large,Unimportant,Training/Test,36.28733099024739,3.36,False
Linear regression,Medium,Incremental Drift,Large,Unimportant,Test,46.27574049110381,3.83,False
Linear regression,Medium,No Drift,No Drift,No Drift,No Drift,34.17404600493104,3.51,False
Linear regression,Medium,Sudden Shock,Small,Important,3 days,35.503069787464845,3.59,False
Linear regression,Medium,Sudden Shock,Large,Important,3 days,35.40939837132943,3.57,False
Linear regression,Medium,Sudden Shock,Small,Important,7 days,35.32437555384044,3.57,False
Linear regression,Medium,Sudden Shock,Large,Important,7 days,35.47676101180254,3.59,False
Linear regression,Unimportant,Sudden Drift,Small,Important,Training,37.25990310770341,3.38,False
Linear regression,Unimportant,Sudden Drift,Small,Important,Training/Test,34.877453378685416,3.25,False
Linear regression,Unimportant,Sudden Drift,Small,Important,Test,152.61308703483715,7.11,False
Linear regression,Unimportant,Sudden Drift,Small,Medium,Training,34.80272140263827,3.39,False
Linear regression,Unimportant,Sudden Drift,Small,Medium,Training/Test,31.77991312552064,3.2,False
Linear regression,Unimportant,Sudden Drift,Small,Medium,Test,40.12269642118559,3.66,False
Linear regression,Unimportant,Sudden Drift,Small,Unimportant,Training,33.605992649599614,3.43,True
Linear regression,Unimportant,Sudden Drift,Small,Unimportant,Training/Test,35.579174658028215,3.59,True
Linear regression,Unimportant,Sudden Drift,Small,Unimportant,Test,33.610933032097456,3.45,True
Linear regression,Unimportant,Sudden Drift,Large,Important,Training,43.60591682562778,2.99,False
Linear regression,Unimportant,Sudden Drift,Large,Important,Training/Test,40.80676789597764,2.81,False
Linear regression,Unimportant,Sudden Drift,Large,Important,Test,1329.9661556938963,20.9,False
Linear regression,Unimportant,Sudden Drift,Large,Medium,Training,38.67768330911164,3.24,False
Linear regression,Unimportant,Sudden Drift,Large,Medium,Training/Test,46.700961271771,3.39,False
Linear regression,Unimportant,Sudden Drift,Large,Medium,Test,108.3815453269354,6.03,False
Linear regression,Unimportant,Sudden Drift,Large,Unimportant,Training,37.74867661361553,3.51,True
Linear regression,Unimportant,Sudden Drift,Large,Unimportant,Training/Test,38.100198835186575,3.56,True
Linear regression,Unimportant,Sudden Drift,Large,Unimportant,Test,43.41023589110566,3.79,True
Linear regression,Unimportant,Incremental Drift,Small,Important,Training,37.73686176395686,3.39,False
Linear regression,Unimportant,Incremental Drift,Small,Important,Training/Test,87.36467458924213,5.23,False
Linear regression,Unimportant,Incremental Drift,Small,Important,Test,118.384464455651,6.17,False
Linear regression,Unimportant,Incremental Drift,Small,Medium,Training,35.037513502675154,3.42,False
Linear regression,Unimportant,Incremental Drift,Small,Medium,Training/Test,31.94594019013416,3.23,False
Linear regression,Unimportant,Incremental Drift,Small,Medium,Test,36.45332853131599,3.52,False
Linear regression,Unimportant,Incremental Drift,Small,Unimportant,Training,34.46209358300044,3.48,True
Linear regression,Unimportant,Incremental Drift,Small,Unimportant,Training/Test,34.65176317695949,3.53,True
Linear regression,Unimportant,Incremental Drift,Small,Unimportant,Test,34.813754323345414,3.54,True
Linear regression,Unimportant,Incremental Drift,Large,Important,Training,44.96426857521647,3.02,False
