LoadDate,Unnamed: 0,Group_Item,OrderQtyFirst,Year,Quarter,Month,Week,DayOfWeek,DayOfYear
2015-01-28 00:00:00+00:00,54399,3,31.0,2015,1,1,5,2,28
2015-01-28 00:00:00+00:00,43277,2,32.0,2015,1,1,5,2,28
2015-01-28 00:00:00+00:00,33006,4,43.0,2015,1,1,5,2,28
2015-01-29 00:00:00+00:00,32899,4,27.0,2015,1,1,5,3,29
2015-01-29 00:00:00+00:00,44217,2,22.0,2015,1,1,5,3,29
2015-01-29 00:00:00+00:00,39514,1,27.0,2015,1,1,5,3,29
2015-01-29 00:00:00+00:00,54877,3,54.0,2015,1,1,5,3,29
2015-01-29 00:00:00+00:00,26123,5,78.0,2015,1,1,5,3,29
2015-01-30 00:00:00+00:00,42627,2,36.0,2015,1,1,5,4,30
2015-01-30 00:00:00+00:00,25255,5,68.0,2015,1,1,5,4,30
2015-01-30 00:00:00+00:00,39427,1,42.0,2015,1,1,5,4,30
2015-01-30 00:00:00+00:00,54257,3,73.0,2015,1,1,5,4,30
2015-01-30 00:00:00+00:00,34186,4,57.0,2015,1,1,5,4,30
2015-01-31 00:00:00+00:00,33379,4,18.0,2015,1,1,5,5,31
2015-01-31 00:00:00+00:00,43942,2,8.0,2015,1,1,5,5,31
2015-01-31 00:00:00+00:00,40256,1,20.0,2015,1,1,5,5,31
2015-01-31 00:00:00+00:00,25097,5,12.0,2015,1,1,5,5,31
2015-02-01 00:00:00+00:00,26355,5,6.0,2015,1,2,5,6,32
2015-02-02 00:00:00+00:00,39025,1,37.0,2015,1,2,6,0,33
2015-02-02 00:00:00+00:00,26536,5,69.0,2015,1,2,6,0,33
2015-02-02 00:00:00+00:00,33681,4,51.0,2015,1,2,6,0,33
2015-02-02 00:00:00+00:00,43042,2,25.0,2015,1,2,6,0,33
2015-02-02 00:00:00+00:00,54412,3,86.0,2015,1,2,6,0,33
2015-02-03 00:00:00+00:00,33359,4,18.0,2015,1,2,6,1,34
2015-02-03 00:00:00+00:00,38975,1,38.0,2015,1,2,6,1,34
2015-02-03 00:00:00+00:00,26255,5,22.0,2015,1,2,6,1,34
2015-02-03 00:00:00+00:00,42847,2,7.0,2015,1,2,6,1,34
2015-02-03 00:00:00+00:00,55215,3,30.0,2015,1,2,6,1,34
2015-02-04 00:00:00+00:00,40404,1,32.0,2015,1,2,6,2,35
2015-02-04 00:00:00+00:00,42813,2,25.0,2015,1,2,6,2,35
2015-02-04 00:00:00+00:00,26083,5,15.0,2015,1,2,6,2,35
2015-02-04 00:00:00+00:00,54858,3,47.0,2015,1,2,6,2,35
2015-02-04 00:00:00+00:00,34086,4,22.0,2015,1,2,6,2,35
2015-02-05 00:00:00+00:00,24967,5,90.0,2015,1,2,6,3,36
2015-02-05 00:00:00+00:00,55007,3,77.0,2015,1,2,6,3,36
2015-02-05 00:00:00+00:00,38932,1,21.0,2015,1,2,6,3,36
2015-02-05 00:00:00+00:00,42953,2,14.0,2015,1,2,6,3,36
2015-02-05 00:00:00+00:00,33716,4,22.0,2015,1,2,6,3,36
2015-02-06 00:00:00+00:00,33409,4,59.0,2015,1,2,6,4,37
2015-02-06 00:00:00+00:00,25680,5,49.0,2015,1,2,6,4,37
2015-02-06 00:00:00+00:00,39702,1,50.0,2015,1,2,6,4,37
2015-02-06 00:00:00+00:00,43088,2,28.0,2015,1,2,6,4,37
2015-02-06 00:00:00+00:00,54689,3,54.0,2015,1,2,6,4,37
2015-02-07 00:00:00+00:00,25209,5,12.0,2015,1,2,6,5,38
2015-02-07 00:00:00+00:00,54721,3,10.0,2015,1,2,6,5,38
2015-02-07 00:00:00+00:00,39015,1,14.0,2015,1,2,6,5,38
2015-02-07 00:00:00+00:00,33972,4,14.0,2015,1,2,6,5,38
2015-02-07 00:00:00+00:00,43319,2,6.0,2015,1,2,6,5,38
2015-02-08 00:00:00+00:00,25876,5,10.0,2015,1,2,6,6,39
2015-02-09 00:00:00+00:00,42814,2,31.0,2015,1,2,7,0,40
2015-02-09 00:00:00+00:00,25980,5,73.0,2015,1,2,7,0,40
2015-02-09 00:00:00+00:00,38781,1,46.0,2015,1,2,7,0,40
2015-02-09 00:00:00+00:00,54624,3,42.0,2015,1,2,7,0,40
2015-02-09 00:00:00+00:00,33424,4,70.0,2015,1,2,7,0,40
2015-02-10 00:00:00+00:00,33475,4,14.0,2015,1,2,7,1,41
2015-02-10 00:00:00+00:00,54425,3,24.0,2015,1,2,7,1,41
2015-02-10 00:00:00+00:00,44134,2,9.0,2015,1,2,7,1,41
2015-02-10 00:00:00+00:00,26793,5,20.0,2015,1,2,7,1,41
2015-02-10 00:00:00+00:00,39684,1,23.0,2015,1,2,7,1,41
2015-02-11 00:00:00+00:00,25607,5,34.0,2015,1,2,7,2,42
2015-02-11 00:00:00+00:00,43301,2,17.0,2015,1,2,7,2,42
2015-02-11 00:00:00+00:00,54338,3,26.0,2015,1,2,7,2,42
2015-02-11 00:00:00+00:00,40136,1,26.0,2015,1,2,7,2,42
2015-02-11 00:00:00+00:00,33171,4,28.0,2015,1,2,7,2,42
2015-02-12 00:00:00+00:00,25105,5,62.0,2015,1,2,7,3,43
2015-02-12 00:00:00+00:00,55156,3,58.0,2015,1,2,7,3,43
2015-02-12 00:00:00+00:00,39947,1,39.0,2015,1,2,7,3,43
2015-02-12 00:00:00+00:00,34615,4,29.0,2015,1,2,7,3,43
